t_0,u_0,t_E,pi_E_N,pi_E_E,ftot,fb_frac,loglike
2453630.7204659907,-0.431914251909169,108.56655354156285,-0.31281550565823296,0.12423145927730483,187.30683095385274,0.05182801649833512,-482.0474614170386
2453630.5658545834,-0.41586782641290243,107.26882467778886,-0.2448349990667968,0.09833004414922175,187.1393126920987,0.10130639789095598,-482.00976240547357
2453630.769074574,-0.41678781925992625,110.16332318071238,-0.2807475708257694,0.09561948418408261,187.18873332587606,0.09777186544016417,-481.7966577594396
2453631.1760636065,-0.3832371486130077,120.81771529854983,-0.3325232827057765,0.12128655043021119,186.8831397658362,0.18983947111358504,-481.7865183856791
2453630.1043665237,-0.4043360822516763,110.06948685323965,-0.29383121744520446,0.11649680610991808,187.12660620364665,0.12777314532478423,-481.7726601287004
2453630.731829741,-0.42010868729582684,113.96051855614785,-0.3442094549728322,0.11235496825030855,187.0000766365511,0.07358659335153322,-481.7684840442671
2453630.4306806256,-0.4025173515175122,115.82977334996794,-0.32659853513726445,0.09367251207602334,187.1819615905275,0.13220791458886572,-481.73296704810303
2453630.8326935414,-0.39767132560155594,117.77770276905078,-0.35427401006205794,0.12689775275377535,187.04865379592925,0.14582368471541368,-481.6063761396905
2453631.0196248963,-0.3699741638810756,122.63154594585217,-0.3188242267733439,0.10545066850988194,187.0585671262654,0.2271975428385615,-481.605575425469
2453630.7453186964,-0.4276641330116855,106.12700312062553,-0.2977266303858485,0.1382900667921365,187.28715284610274,0.05622826269931286,-481.58179431583153
2453631.269412188,-0.4187227722527166,117.07690889561384,-0.3429921576847349,0.1046727063632572,186.9561582258609,0.08558059856963982,-481.5140524252997
2453630.242198909,-0.4232224803933161,105.08905109786791,-0.2800292908848922,0.11171217028373259,187.2224042603135,0.06500012940738091,-481.50357638058756
2453630.259677903,-0.4097207052932266,114.41488648815898,-0.31285554927268433,0.10423631904642328,187.04924364545792,0.1195830007366285,-481.4693861768308
2453631.1881846483,-0.409204792634455,116.66799491600513,-0.3313729502419476,0.09942007053862367,187.04296732517128,0.11688038501589927,-481.4672976145815
2453630.435275636,-0.39232530526396703,110.5230990566124,-0.26066386692648574,0.10885901958810162,186.9548791942714,0.15825134922885148,-481.41524410142983
2453630.8489514007,-0.44055268874632925,108.2800847700836,-0.3362573983788522,0.12592952019616144,187.47648465796505,0.017416106565911985,-481.4012835878057
2453630.180980523,-0.4317610873641168,101.64429029354777,-0.22328096254454233,0.09979541778725076,187.15691632591881,0.040890031956774604,-481.3958015234806
2453630.498582871,-0.4164335113887426,105.88287584551955,-0.27036574907563116,0.10693645849556066,187.2331941660679,0.08598207313734146,-481.3603085106712
2453631.017425682,-0.4227833658437402,115.23908661343464,-0.3580127423067636,0.11406730446789048,186.88783346325397,0.0677828152683161,-481.32792135330146
2453631.555122847,-0.42468112769055066,112.55090764653049,-0.3172769335896872,0.11128138823752709,187.02756089870925,0.06792202542218104,-481.2410021779562
2453630.863137599,-0.42380869218075157,109.58506945318416,-0.310777635332748,0.1176331053683436,186.98838015068816,0.07028306006146433,-481.2034654726115
2453630.8645314574,-0.43071214000185265,114.81977459770816,-0.3779081634009317,0.12037385889288554,187.23701264517854,0.047426839252796,-481.15468148638763
2453629.774118007,-0.40263736299981034,106.4534756627648,-0.2404760718643385,0.10369025216643823,187.21032846621694,0.1341384337443804,-481.1332179565534
2453630.9216571664,-0.3929103485466966,111.55258907720817,-0.25213287345850494,0.09833911918970051,187.00137579482436,0.15889242585380947,-481.09177236549067
2453630.914959979,-0.4162373573669472,107.40781092195388,-0.25019704468547543,0.10422961617330706,187.08750542860213,0.09683085675883668,-481.051817826321
2453631.3453668067,-0.41865938479662235,112.178705828638,-0.3078306821899965,0.11718029720104295,186.9503841379024,0.08511948525042878,-481.03012866480634
2453631.1563009783,-0.4397338032408932,107.96745713592519,-0.3029156294928348,0.11534503522771977,187.12007675830134,0.02522362917731313,-480.9727393005616
2453631.725530644,-0.4317059173468262,112.55703608987798,-0.3468768538655971,0.12645100911060714,187.00875505653698,0.03976484897902911,-480.9658718770571
2453631.141083973,-0.43822060064673796,114.34798342469439,-0.367146442692607,0.11680407092415046,187.19417983696337,0.029069114415039003,-480.9628370296319
2453630.595874024,-0.41556382914991263,108.18448192015138,-0.28871421097699107,0.10861470293972642,187.2746707082215,0.09547670813528095,-480.952976008846
2453630.9336182857,-0.4395880259792816,106.14735542973891,-0.3214277777610393,0.13385735139139976,187.47795306801933,0.016753938189175147,-480.93661696479313
2453630.4658900183,-0.3765806498373756,115.20125278756815,-0.27101629325156806,0.10177092821594158,186.92992496368151,0.20635674026562914,-480.93496370479585
2453630.260319455,-0.41815594879184503,104.86379541593347,-0.24902691865028803,0.11882816082161307,187.29350285785833,0.08758311408523863,-480.93203327006967
2453630.641351901,-0.43782921610853365,106.23973145270388,-0.3007173284129018,0.11178451290619018,186.9918061965033,0.02296274064045793,-480.8958093463
2453631.3077036454,-0.41861649424814507,113.84196988291471,-0.356288544972547,0.13726006601505036,187.25931554705204,0.0794674354170435,-480.8545772567492
2453630.7325762906,-0.41698126772395816,107.2098184142755,-0.26513776581515947,0.1069517518419153,187.00400046926575,0.09082834403532962,-480.85344004849924
2453631.626512641,-0.4198343021463308,112.7269981780552,-0.3364510482779403,0.13535402947042896,187.11134796638765,0.0765616493970746,-480.8510641282214
2453630.116378356,-0.3876206567508481,106.9711143594918,-0.19769504253944364,0.09509958143476738,187.08363252492524,0.17685271593302254,-480.7811662390339
2453630.8990464034,-0.4012814035089275,114.84682548334374,-0.3369247458343871,0.125159216557159,187.05674391933306,0.13039288799871546,-480.77867991167665
2453630.0553123564,-0.3847337144694648,113.97240904404528,-0.26148204399478947,0.08498335985792305,186.9305895805923,0.18461828676068878,-480.73166775336114
2453631.64489073,-0.4127379579057514,114.86715583218248,-0.33572012257813744,0.13076287764687777,187.02025657424997,0.10224984440724652,-480.70348409417585
2453630.563215131,-0.42532240084015516,109.96669102481145,-0.3044263904721875,0.0985741145488882,187.3686248878435,0.06791591444363139,-480.68437620607284
2453630.7846476533,-0.3970271233063636,112.50483162939695,-0.2916747273101641,0.12467498257955012,187.07644806036893,0.1509644241121431,-480.68170410122184
2453630.241078679,-0.42463844410693563,104.75807231388794,-0.25409691714347643,0.09114261932782264,187.21462618215833,0.06452869582550093,-480.67377457422845
2453630.1989933667,-0.39879862636459384,109.18340469248898,-0.2509351152063188,0.10620674348585746,187.0401160915389,0.14169638413794056,-480.64584723318205
2453631.0588749284,-0.4249098376345216,108.99288281009325,-0.28934810720331133,0.1032803689048154,187.1118579310541,0.06987744869990133,-480.61875456397365
2453630.7811797364,-0.42110677388689244,109.72657078067998,-0.3106220090969823,0.12565037724999162,187.00664980252122,0.07250680931916788,-480.60526000930975
2453629.974205054,-0.40187131161187606,110.86500903102306,-0.2916891928995812,0.10705809735672278,187.08464298784943,0.13160463472564868,-480.5266574148212
2453631.173752877,-0.384972797095809,118.41222842477096,-0.3072856514810695,0.11274766508047507,187.07027047116702,0.1837791194947611,-480.5164859616634
2453630.4844203526,-0.4038475530327832,114.8503679728675,-0.3415613650412423,0.12207432759005643,187.0957628213252,0.1250662376696473,-480.4735729731937
2453630.8537300923,-0.42817013528794434,109.10392541664505,-0.33093800407579943,0.1303291826897116,187.38172756666324,0.05755391051848633,-480.46526971034103
2453630.5426671635,-0.42229051148226115,103.61194227373866,-0.21885508267264042,0.10316452782791485,187.28532711845753,0.0793012460470307,-480.4625801496476
2453631.6472568302,-0.42137656338225304,116.33581880432124,-0.35383152046542804,0.12033371912471658,187.1296123297128,0.0801045994311777,-480.4537131502756
2453630.42110964,-0.4201432196100273,106.33888911650193,-0.28954325992055896,0.12838482483147728,187.18944157516916,0.07633844264225295,-480.44928514682033
2453631.0686009103,-0.3933820546928236,118.30864889719695,-0.3447877952500502,0.12115613499662659,187.26091423573712,0.1579205749327237,-480.42136689968254
2453631.7296550144,-0.4355218026184562,112.5621040866901,-0.35030995705683976,0.12338977335760959,187.0950496620261,0.029003420841337908,-480.3976726345452
2453630.581688009,-0.384523810420494,114.70109325818491,-0.26212563303103353,0.0871014464108163,187.0230497454977,0.1854961650491796,-480.36735842105566
2453630.058962521,-0.39161861671714093,114.44028287704722,-0.2893988730195037,0.09327557200019176,186.91443410316612,0.16485083721353233,-480.35742114030836
2453631.2296064426,-0.4177522874054942,113.91127685546537,-0.3353668418983829,0.12753446720566564,187.27708663842253,0.0911563803062876,-480.3500728583719
2453630.691019606,-0.4328077720987894,106.35149560995785,-0.2756060751522692,0.0991779103424143,187.37540073904177,0.04420497849575046,-480.3080102835898
2453630.8441847702,-0.4015562735007767,112.679274748964,-0.30887677727519947,0.12336680787171639,186.99053561782142,0.13399676877621575,-480.2970496487801
2453630.346678968,-0.400251832535943,110.44796697536677,-0.2740425008930788,0.11354214494336479,187.3555356389173,0.1442954493367331,-480.26428529584007
2453630.6703410335,-0.43252455271403845,108.7916402028964,-0.2941150662779014,0.09399624300092846,187.2081123468546,0.04418709901498969,-480.26379254241124
2453629.7914083386,-0.4134114359528289,103.33504609915876,-0.20589812514994765,0.09118409880208511,187.19374924767283,0.10164584074968462,-480.2357225668304
